title,col,wdl_url,ins_key,pub_key,dewey_dec_code,type_id,date,item_id
"First View of the City of Mecca: Left in the Background Is the Rampart of Jiyād. The Big Building to the Right Is the Ḥamīdiyyah, Nearby to the Left Is the Printing House",col_172,https://www.wdl.org/en/item/11697,ins_1,pub_613,297.915,prph,1889,22053
Second View of the City of Mecca over the Northwest (Right) and Southwest (Left) Side of the Mosque,col_172,https://www.wdl.org/en/item/11698,ins_1,pub_613,297.915,prph,1889,22054
"Third View of the City of Mecca: Left Is the Northern Corner of the Mosque, a Bit to the Southeast of It Is the Bāb ès-salām, through Which Pilgrims Enter the Mosque",col_172,https://www.wdl.org/en/item/11699,ins_1,pub_613,297.915,prph,1889,22055
Fourth View of the City of Mecca,col_172,https://www.wdl.org/en/item/11700,ins_1,pub_613,297.915,prph,1889,22056
The Printing House (Founded a Few Years Earlier) in Mecca,col_172,https://www.wdl.org/en/item/11701,ins_1,pub_613,725.915,prph,1889,22057
The Tomb of Sittanā Mèymūnah and the Camp of Meccan Pilgrims,col_172,https://www.wdl.org/en/item/11702,ins_1,pub_613,297.915,prph,1889,22058
Second View of the Camps of the Mèymūnah Pilgrims,col_172,https://www.wdl.org/en/item/11703,ins_1,pub_613,297.915,prph,1889,22059
Third View of the Same Camps of the Mèymūnah Pilgrims; in the Background the Road Winds toward Mecca,col_172,https://www.wdl.org/en/item/11704,ins_1,pub_613,297.915,prph,1889,22060
"The Western Part of the Mina Valley, Which Stretches from West to East, during the Great Annual Pilgrimage Gathering",col_172,https://www.wdl.org/en/item/11705,ins_1,pub_613,297.915,prph,1889,22061
Eastern Part of the Mina Valley,col_172,https://www.wdl.org/en/item/11706,ins_1,pub_613,297.915,prph,1889,22062
"The Pilgrimage Station Muzdal''fah, Situated between Mina and ''Arafah",col_172,https://www.wdl.org/en/item/11707,ins_1,pub_613,297.915,prph,1889,22063
Mount 'Arafah during the Annual Pilgrimage Gathering (Seen from the South),col_172,https://www.wdl.org/en/item/11708,ins_1,pub_613,297.915,prph,1889,22064
