pub_key,Publisher
pub_183,"Information Office, Embassy of Ghana"
pub_184,É. Crété
pub_185,Empreza Guedes
pub_186,Trelawney Saunders
pub_187,"Yair Medinah, Jerusalem Fine Arts Prints"
pub_188,P. Sonnerat
pub_189,D. Reimer
pub_190,Thomas Hamilton
pub_191,Gallery/Studio Tamar Meser Ltd.
pub_192,Junta de Andalucia
pub_193,Printed for J. Peele
pub_194,Sold by W. Griffin
pub_195,Edward Arnold
pub_196,Century Company
pub_197,Bet Alpha Editions
pub_198,Yao Kanbē kaihan
pub_199,J. Blaeve
pub_200,A. Allard
pub_201,Homann Heirs
pub_202,Juan de Narvaes
pub_203,Direccion de Hidrografica
pub_204,Chez Pierre Mariette
pub_205,Jean Cóvens and Corneille Mortier
pub_206,Barbosa and Lobo
pub_207,Edward Anthony
pub_208,Qing yun guan
pub_209,C. Amat
pub_210,John Murray
pub_211,"Darling & Son, ltd."
pub_212,Felix Alcan
pub_213,Baptist Mission Press
pub_214,"Government Press, N.W.P. and Oudh"
pub_215,A. Constable and Company
pub_216,Rodwell and Martin
pub_217,Elliot Stock
pub_218,Ticknor and Company
pub_219,J. Darby
pub_220,"Methuen & Co., Ltd., London; George H. Doran Company, New York"
pub_221,H.M. Stationery Office
pub_222,Challamel aîné
pub_223,H. Hilger
pub_224,Printed for A. Millar
pub_225,"Smith, Elder, & Company"
pub_226,S. Hooper
pub_227,J. Murray
pub_228,Printed at the Bengal Secretariat Office
pub_229,Archibald Constable and Company
pub_230,T. Fisher Unwin
pub_231,"Smith, Elder"
pub_232,Armand Colin et cie
pub_233,"Houghton, Mifflin and company"
pub_234,University Press
pub_235,Ferdinand Hirt & Sohn
pub_236,Printed at the Government Printing Office
pub_237,G. and J. Robinson
pub_238,Imprensa nacional
pub_239,Jonas Brown
pub_240,Imprimerie impériale
pub_241,Imprimerie royale
pub_242,Société royale de géographie d'Egypte
pub_243,Dieterichschen Buchhandlung
pub_244,Felipe Peña Cruz
pub_245,Wang Yuyin
pub_246,Kirk and Mercein
pub_247,Stereo-Travel Company
pub_248,"Sampson Low, Marston, Searle & Rivington"
pub_249,"Juta, Heeles, and Co."
pub_250,"Longman, Brown, Green, and Longmans"
pub_251,Al-‘Uthmaniyah Press
pub_252,H. Oudin
pub_253,Imprimerie Officielle
pub_254,Baptist Missionary Society and Trübner & Co.
pub_255,"Atkin & Prout, Printers"
pub_256,"Doubleday, Page & Company"
pub_257,Government Printer
pub_258,Imprimerie de Napoléon Chaix et Cie
pub_259,Ministry of Information of the Press and Broadcasting of the Republic of Senegal
pub_260,Ernest Leroux
pub_261,Imprimerie Jean Cussac
pub_262,Imprimerie Editogo
pub_263,"Longmans, Green and Co."
pub_264,Émile Larose
pub_265,"Ministry of the Interior, Information Service"
pub_266,L. Desessart
pub_267,P. Wogan
pub_268,Luigi Battei
pub_269,L. Hachette
pub_270,W. Miller
pub_271,Publicity Promotions
pub_272,Min Qiji
pub_273,Duncker and Humblot
pub_274,"Swan Sonnenschein & Co., Ltd."
pub_275,l’Imprimerie du Rwanda
pub_276,E.S. Mittler
pub_277,"Dodd, Mead"
pub_278,Union Publishing Company
pub_279,Harper & Brothers
pub_280,T. Fisher Unwin Ltd.
pub_281,Johann Friedrich Hartknoch
pub_282,Georg Christian Grund
pub_283,F.A. Brockhaus
pub_284,Ernest Bourdin
pub_285,"Lafréry, Antoine"
pub_286,Justus Perthes
pub_287,Yu Liangmu
pub_288,Organization of American States
pub_289,bi-ihtimām Muḥammad ʻAbd al-Raḥmān ibn Ḥajjī Muḥammad Rawshan Khān Maghfūr
pub_290,Survey of India Offices
pub_291,Saillant et Nyon
pub_292,Alexander Hogg
pub_293,Hunt & Eaton
pub_294,Bormay & Company
pub_295,I. Murray
pub_296,William Blake
pub_297,Yao Kanbē
pub_298,Yao Kanbē kankō
pub_299,Tong Wenlong
pub_300,White House Photo Office (1969-1974)
pub_301,"White House Photo Office, (1989-1993)"
pub_302,John Dunlap
