pub_key,Publisher
pub_820,Yang Junlin at Sizhiguan
pub_821,Li Yongzhong
pub_822,Zhang Cunhui
pub_823,Wangzaoxuan
pub_824,Guo Xian'en
pub_825,Chen Zhi
pub_826,Jujintang
pub_827,Guangqitang
pub_828,Youyizhai
pub_829,Lu Jian
pub_830,Xiong Zhixue
pub_831,Xue Sancai
pub_832,Zhang Yuanji
pub_833,He Chao
pub_834,Monastery of San Lazzaro
pub_835,Paolo Bonacota
pub_836,Titi & Pauli de Dianis
pub_837,Monastery of Saint Antony
pub_838,Michael Zimmermann
pub_839,Typographia Medicea
pub_840,Johann Schwan
pub_841,Melchior Lotter d.J.
pub_842,Johann Fust
pub_843,Johannes Oporinus
pub_844,Bartholomaei Bonfadini
pub_845,Monastery of St. Ulrich and Afra (?)
pub_846,H. Eggestein
pub_847,Brothers of the Common Life at Te Nazareth Gheprint
pub_848,Keikikaku
pub_849,Dar as-Salam Publishing
pub_850,Printed at the War Office
pub_851,Hodder and Stoughton
pub_852,Student Christian Movement
pub_853,"Longmans, Green & Company"
pub_854,Hutchinson & Company
pub_855,Hutchinson & Co.
pub_856,Francis Griffiths
pub_857,Uganda Society
pub_858,Uganda Literary and Scientific Society
pub_859,Nicomedes Lora
pub_860,Printing House of Printing School
pub_861,Kiev Commission of Popular Readings
pub_862,Y. P. Fishgang Printing House
pub_863,Sementovskii Printing House
pub_864,S.V. Kul'zhenko
pub_865,М.А. Alexandrov Printing House
pub_866,Kiev Pechersk Lavra Press
pub_867,Governor’s Office
pub_868,I. Schetinkin and E. Martynov
pub_869,Publishing House of E. Cherepovskii
pub_870,N. I. Butkovskaya
pub_871,Union for the Liberation of Ukraine
pub_872,Pyotr Barskii
pub_873,Southwestern Branch of the Imperial Russian Geographic Society
pub_874,N. T. Korchak–Novitskii
pub_875,Public Interests Printing House
pub_876,A. I. Grosman
pub_877,Volosozhar
pub_878,I. Knebel
pub_879,Al-Dunkajiyya Press
pub_880,Augustinian Monastery of San Salvatore
pub_881,Academy of Arts and Society of Calligraphers
pub_882,Cultural Heritage Organization
pub_883,Mohammad-Ali Ashtyani
pub_884,Antonio Cruzado
pub_885,Juan Baptista de Montoya
pub_886,Antonio de Salamanca and Antonio Lafrery
pub_887,Jean Laet
pub_888,Juan Bautista Gargano and Lucrecio Nucci
pub_889,Ignacio Boix
pub_890,Arnao Guillén de Brocar
pub_891,F. de P. Mellado
pub_892,G. T. Korchak-Novitskii Printing House
pub_893,Konstantin Zhernakov Printing House
pub_894,Monastery of Saint Ioakim Osogovski-Sarandapor
pub_895,I︠A︡kov Kraĭkov
pub_896,Giambatista Albrizzi
pub_897,Arnold Buckinck
pub_898,Jean Aubry and Claude de Marne
pub_899,Heinrich Petri
pub_900,Luca-Antonio Giunta
pub_901,Ottaviano Scoto
pub_902,Benoît Bonyn
pub_903,Johann Grüninger
pub_904,H. Hall
pub_905,Vincenzo Valgrisi and Baldassare Costantini
pub_906,Johann Schott
pub_907,Cornelius of Zyrickzee
pub_908,Matteo Cancer
pub_909,Guillaume Huyon
pub_910,Johannes Janssonius van Waesberge and Vidua Elizei Weyerstraet
pub_911,Giovanni Monte and Ulrich Neuber
pub_912,Valentinus Curio
pub_913,White Star Line
pub_914,Belarusian Society of Bibliophiles
pub_915,A. Dvorzhets Printing House
pub_916,Russian Imperial Academy of Science
pub_917,Radzivill Printing House
pub_918,Publishing House of Hakob Meghapart
pub_919,Malik al-Kitāb
pub_920,Maṭbaʻ-i Muṣṭafāʼī-i Muḥammad Khān Muṣṭafá
pub_921,Dar Maṭbaʻ-i Dār al-Salṭanah-i Kābul
pub_922,Maṭbaʻ-i Dār al-Salṭanah-ʼi Kābul
pub_923,Bā bayārī-i Maṭbaʻ-i Sarkārī-i shahr-i Kābul-i gulgul bishkuft
pub_924,National Printing Office
pub_925,Waterlow and Sons
pub_926,McCorquodale and Company
pub_927,William M. Bradley and Company
pub_928,Eckert Lithographing Company
pub_929,G.W. and C.B. Colton and Company
pub_930,International Bureau of the American Republics
pub_931,United States. Adjutant-General's Office. Military Information Division
pub_932,George Philip & Son Limited
pub_933,Ordnance Survey Office
pub_934,"Engineer Reproduction Plant, U.S. Army"
pub_935,Covens and Mortier
pub_936,Oxford University Press
pub_937,Johann Neumeister
pub_938,"Lorenzo Morgiani and Johannes Petri, for Piero Pacini da Pescia"
pub_939,Fowler & Kelly
pub_940,Shiguange
pub_941,Sun You
pub_942,Rongyutang
pub_943,Dachengzhai
pub_944,Shuyetang
pub_945,Imperial Medical College
pub_946,Shangbaizhai
pub_947,Gulin Shutang
pub_948,Langxuanguan
pub_949,Ding Gongchen
pub_950,Yuan Jie
pub_951,Qixiutang
pub_952,"Lu Xiangpu, Sanjian Caotang"
pub_953,Jiguge
pub_954,Pingbo
pub_955,Tingyitang
pub_956,National Highways Association
pub_957,German Peace Society
pub_958,Office of European Nationality
pub_959,Federated Malay States Government Printing Office
pub_960,Headley Brothers
pub_961,Naval Kishore Publishing House
pub_962,P.A. Huldberg
pub_963,A. Börtzells
pub_964,"Army Map Service, Corps of Engineers"
pub_965,Freytag & Berndt
pub_966,William D. Ticknor
pub_967,Enrico Voghera
pub_968,Heer
pub_969,War Office
pub_970,Johann Baptist Homann
pub_971,C. Ohmann
pub_972,M. Lapie
pub_973,Johnson and Ward
pub_974,"Thomas, Cowperthwait & Company"
pub_975,C. Picquet
pub_976,G.P. Putnam's Sons
pub_977,Fleming H. Revell Company
pub_978,P. Force
pub_979,T. Wardle
pub_980,Mason Brothers
pub_981,W. N. Hartshorn
pub_982,F. A. Stokes
pub_983,Muṣṭafawī Printing Press
pub_984,Fayḍ Muḥammadī Press
pub_985,Dār al-Salṭanah
pub_986,Trübner & Company
pub_987,"Sampson Low, Marston, Searle, and Rivington"
pub_988,Griffith and Farran
pub_989,"Longman, Hurst, Rees, Orme, Brown, and Green"
pub_990,R. J. Mitchell and Sons
pub_991,William H. Allen and Company
pub_992,Maṭbaʻ-i Jahanʹnamā
pub_993,M. Parpura
pub_994,Giovanni Giacomo de Rossi
pub_995,Pieter van der Aa
pub_996,Institut Geographique de Paris
pub_997,Gustava Barba
pub_998,Sagamiya Tahei
pub_999,Yao Yasutoyo (et al.)
pub_1000,Doyu koji
pub_1001,Asaino families
pub_1002,Urokogataya Sanzaemon
pub_1003,Nishimuraya Yohachi
pub_1004,Funaki Kasuke (et al.)
pub_1005,Hayashi Jizaemon
pub_1006,Royal Printing Press of Kabul
pub_1007,Muṣṭafāʼī Publishing House
pub_1008,Maṭbaʻ-i Dīmūrūf
pub_1009,Royal Publishing House of Kabul
pub_1010,Matb-e Gulzar Husaini
pub_1011,Matb-e Brejis
pub_1012,Maṭbaʻ-i Dār al-Salṭanah-i Kābul
pub_1013,Andreola
pub_1014,Da’ud Sliwa
pub_1015,Bernardino dei Vitali
pub_1016,Al-Arab Printing House
pub_1017,Royal Serbian Publishing House
pub_1018,City Typographers
pub_1019,Book Publishing House of Constantinople Herald
pub_1020,Royal Serbian Typographers
pub_1021,Printing House of K.N. Radulesku
pub_1022,Typographers of Tadei Divichian
pub_1023,Tongsheng Photo Studio (Firm)
pub_1024,W.H. Allen and Company
pub_1025,Blackie & Son
pub_1026,John Cary
pub_1027,Bellin
pub_1028,Bibliographisches Institut Leipzig
pub_1029,James Wyld
pub_1030,Didot
pub_1031,G. A. Kuklin
pub_1032,Synod Press
pub_1033,Government Press
pub_1034,Partnership of Typesetters. A. A. Levenson
pub_1035,P. P. Soikin Printing House
pub_1036,Land survey drawing company
pub_1037,Al-Maṭba‘a al-Adabīya
pub_1038,Université Saint-Joseph
pub_1039,Muhandis-khāna Press
pub_1040,Al-Hamīdiyyah Press
pub_1041,Americans’ Printing House
pub_1042,al-Jawa’ib Press
pub_1043,Catholic Press
pub_1044,Al-Adab Press
pub_1045,Amiriyah Press
pub_1046,Muqtataf Press
pub_1047,Muḥammad Musṭafā Press
pub_1048,Dar al-Hilal Printing House
pub_1049,Bulaq Press
pub_1050,Al-Adabiyah Press
pub_1051,al-‘Umumiyah Press
pub_1052,Al-Khayriyah Press
pub_1053,al-Ma'arif Press
pub_1054,American Press
pub_1055,Maṭbaʻat al-Hilāl
pub_1056,Maṭbaʻat al-Shaʻb
pub_1057,Matbaʻat al-Abāʼ al-Yasuʻīyyīn
pub_1058,al-Ahliyah Press
pub_1059,Al-Taraqqi Press
pub_1060,al-Sa’adah Press
pub_1061,al-Masbah Press
pub_1062,al-Mimniyah Press
pub_1063,al-Hilāl
pub_1064,Al-Sharafīya Publishing House
pub_1065,Maṭbaʻat al-Maḥmūdīya Publishing House
pub_1066,Al-Sufūr Printing House
pub_1067,Maṭbaʻat al-khayrīyah
pub_1068,Maṭbaʻat al-qāhira al-ḥurra
pub_1069,Jarīdat Bayrut Press
pub_1070,al-Maktabah al-Tijariyah al-Kubra Press
pub_1071,Al-Hilal Press
pub_1072,Nile Press
pub_1073,Dar al-Kutub al-‘Arabiyah al-Kubra Press
pub_1074,ʻĀmarah Press
pub_1075,al-Maṭbaʻah al-Kubrá al-Amīrīyah
pub_1076,Jamāliyah Press
pub_1077,Al-Bahā’ Press
pub_1078,Salafiyah Press
pub_1079,Firmin-Didot
pub_1080,Geographisches Institut
pub_1081,Office of the Chief of Engineers
pub_1082,Jackson & Wyndham
pub_1083,"Letts, Son & Company"
pub_1084,Dār al-Ṭabaʻāt-i Āstānah-i Muqaddasah
pub_1085,Matbh-e Fakhri
pub_1086,Matbh-e Islamiya
pub_1087,Sarkāṛī Printing Press
pub_1088,Shams Al-Nahār Press
pub_1089,German Publishing House
pub_1090,D'Anville
pub_1091,Survey of Egypt
pub_1092,Reich Office
pub_1093,Ufficio Nautico Marconi
pub_1094,Robert de Vaugondy
pub_1095,Matba-e Hurufi Dar al-Saltana-e
pub_1096,Matba-e Ghulam Hasan
pub_1097,Afghanistan Academy of Sciences and Center for Language and Literature
pub_1098,Autonomous Directorate of Publications
pub_1099,"Parry, Blenkarn and Company"
pub_1100,Richard Bentley and Son
pub_1101,"Chapman and Hall, Limited"
pub_1102,"Longmans, Green, and Company"
pub_1103,Behari Lal
pub_1104,Britton and Rey
pub_1105,Poole Brothers
pub_1106,Marsh and Grant
pub_1107,Julius Bien and Company Lithography
pub_1108,David O. Haynes
pub_1109,Farwest Lithograph and Printing
pub_1110,E. Weber
pub_1111,Geological Survey (United States)
pub_1112,Junzhai Gushu
pub_1113,Guweitang
pub_1114,Guangqin Shutang
pub_1115,Tea-Salt Commission of the Eastern Zhejiang Jurisdiction
pub_1116,"Transport Division, Jiangxi Circuit"
pub_1117,Rixintang of Gao Family
pub_1118,"Lanxuetang, Huajian, Xishan"
pub_1119,Na Chieftainship of the Yi people
pub_1120,Wu Weizhong
pub_1121,Li Yu
pub_1122,Yu Family School
pub_1123,Cuiwen Shuwu
pub_1124,"Mao Jin, Jiguge"
pub_1125,Lin'an Prefecture
pub_1126,"Chen Renzi, Dongshan Shuyuan"
pub_1127,Zhang Dingsi
pub_1128,Ministry of Information and Culture and Union of the Writers of the Democratic Republic of Afghanistan
