Creator,creator_id
"Li, Liankun, active 19th century",159
"Visscher, Nicolaes, 1618-1679",160
"Zimmermann, Carl",161
"Hondius, Hendrik, 1597-1651",162
American Red Cross,163
"Li, Zhizao, 1565-1630",164
"Zhu, Baotian, 1931-",165
"García de Leon y Pizarro, Ramón",166
"Brion de la Tour, Louis",167
Trakai (Lithuania). Castle Court,168
Žemaitija (Lithuania). Land Court,169
Lithuania. Kaunas Municipal government,170
"Thevet, André, 1502-1590",171
"Crocker, W.M.",172
"Beron, Petur",173
"Champlain, Samuel de, 1567-1635",174
Kaunas (Lithuania). Land Court,175
"Stanley, Henry M. (Henry Morton), 1841-1904",176
Ukmergė (Lithuania). Castle Court,177
"Andersen, H. C. (Hans Christian), 1805-1875",178
"Edwards, Bryan, 1743-1800",179
"Piadyshev, Vasiliĭ Petrovich, 1758-1835",180
"Blunt, E.",181
"La Fontaine, Jean de, 1621-1695",182
Société anonyme des plaques et papiers photographiques,183
"Waldseemüller, Martin, 1470-1521?",184
"Wit, Frederik de, 1630-1706",185
"Gerbel, Nicolaus, around 1485-1560|Sophianos, Nikolaos",186
Upyte (Lithuania). Land Court,187
"Dodd, Mead and Company|J.N. Matthews Company",188
Great Britain|Kingdom of Bunyoro-Kitara,189
"Sanson, Guillaume",190
"Douglass, William",191
"Ortelius, Abraham, 1527-1598|Seco, Fernando Alvares",192
Edward Stanford Ltd.,193
Resettlement Department of the Land Regulation and Agriculture Administration,194
"Mentelle, Simon M., 1731-1799",195
"Bacon, G.W., 1830-1921",196
"Nassaro, Matteo del, circa 1490–1547",197
"Varin, Jean, 1604-1672",198
"Verardi, Carlo, 1440-1500",199
"Tronchoy, Gautier du",200
"Kalderon, Asher",201
"Malte-Brun, M.",202
"Baker, James H.",203
"Seutter, Matthaeus, 1678-1756",204
"Campbell, Robert, 1829-1884",205
"Tinoco, Pedro Nunes, died 1641",206
"Crespo, Miguel Blanco",207
"Vilhena, Luís of Santos, 1744-1814",208
"Freire, Jose Joaquin, 1760-1847",209
"Godinho de Eredia, Manuel, 1563-1623",210
"Schwebel, Joan Andre",211
"Vasco Manuel de Braun, João",212
"Bulhões, José Correia Rangel de, flourished 1749-1800",213
"Siqueira, Joze Manoel de",214
"Teixeira, Manoel Rodriguez",215
"Matos, Jose Raimundo da Cunha, 1776-1839",216
"Eredia, Manuel Godinho de, 1563-1623",217
"Souza, Antônio Alvares dos Santos",218
"Ponte Ribeiro, Duarte da Ponte Ribeiro, barão de, 1795-1878",219
"Blaeu, Willem Janszoon, 1571-1638",220
"Allard, Carel, 1648-1709?",221
"Sanson, Nicolas, 1600-1667",222
"Bellin, Jacques-Nicolas, 1703-1772",223
"Hermelin, Samuel Gustaf Benzelstierna, 1744-1820",224
Brazilian Astronomical Commission,225
"Hamilton, Francis, 1762-1829",226
"Simonin, Louis, 1830-1886",227
"Fauvel, Albert-Auguste, 1851-1909",228
"Tuckey, James Hingston, 1776-1816",229
Togo,230
"Trémaux, Pierre, 1818-1895",231
Rwanda,232
"Mellin, Ludvig August, 1754-1831",233
"Coronelli, Vincenzo, 1650-1718",234
"Demidov, Anatolīĭ, Prince de, 1812-1870",235
"Gastaldi, Giacomo, 1500?-1565?",236
"Senex, John, died 1740",237
"Petermann, A. (August Heinrich), 1822-1878",238
'Utman bin 'Ali at-Taklisi al-'Urjani,239
India,240
"Arrowsmith, Aaron, 1750-1823",241
