col_122,Tovar Codex: Historical Section
col_123,Archive of Early American Images
col_124,American Geographical Society Library Digital Map Collection
col_125,Archbishopric Collection
col_126,NEST Library
col_127,St. George Church (Urfa Collection)
col_128,Monastery Library
col_129,Grabill Collection
col_130,"Colonel Edward ""Tug"" Bearby Wilson Collection"
col_131,Siberian Letters on Birch Bark
col_132,The Process of Building the Ķegums Hydro Power Plant (1936-1940)
col_133,Views of Kiev
col_134,Paintings of the Victorious Pacification of the Zhungars
col_135,Paintings of the Victorious Pacification of the Two Jinchuans
col_136,Paintings of the Victorious Pacification of Taiwan
col_137,Paintings of the Campaign Against and Pacification of the Miao Tribes
col_138,Paintings of the Campaign against and Pacification of Zhong Miao
col_139,Early History of the Anglican Church in Uganda
col_140,El Mosquito Newspaper Collection
col_141,Views of People and Sites in Turkey
col_142,Souvenir of Kiev
col_143,Colección Comisión Corográfica
col_144,Veterans History Project
col_145,La Première Ligne Newspaper Collection
col_146,Philadelphia on Stone
col_147,Wainwright Philadelphia Lithographs
col_148,Work Projects Administration Poster Collection
col_149,Rochambeau Map Collection
col_150,Indian Types and Scenes
col_151,Original Sketches Made in Afghanistan during the Campaign of 1878-79 with the Peshawer Field Force
col_152,Album of Original Military and Other Drawings and Water-Colors
col_153,Feinberg-Whitman Collection
col_154,Gabriela Mistral Manuscripts Collection
col_155,HMML Rare Books
col_156,Arca Artium Rare Books
col_157,Saint John's Rare Books
col_158,The New Generation
col_159,The Uganda Journal
col_160,Al-Zaura Newspaper Collection
col_161,Carpathian Ruthenia
col_162,Florentine Codex
col_163,Al-Iraq Newspaper Collection
col_164,Circus & Allied Arts Collection
col_165,The Khoikhoi at the Cape of Good Hope
col_166,Iryan Moftah Collection of Coptic Books and Manuscripts
col_167,Papers of Wilbur and Orville Wright
col_168,"Afghanistan, 1879-80"
col_169,League of Nations Archives
col_170,Plutei Collection
col_171,Views of Great Tibet
col_172,Images from Mecca
col_173,Feminine Elegance Magazine Collection
col_174,General Map of Central Asia
col_175,John M. Brown Collection
col_176,Harry A. Atwell Collection
col_177,Echo of Babylon Newspaper Collection
col_178,Al-Arab Newspaper Collection
col_179,Photographs of the Jing-Zhang Railway Construction
col_180,Sun of the Day Periodical Collection
col_181,Kabul Magazine
col_182,Zhvandūn Magazine
col_183,collection
