Publisher,pub_key
Guillermo Drouy,pub_582
Diego López Dávalos,pub_583
Jacobo Cromberger,pub_584
Sanoya Kiheｉ,pub_585
Tsutaya Kichizo,pub_586
Eijyudo,pub_587
Hujiokaya Keijiro,pub_588
Ensｈuya Matabei,pub_589
Fukuda Kumajiro,pub_590
Yamaguchiya Tobei,pub_591
Tsutaya Jûzaburô,pub_592
Toseisha,pub_593
Johannes Hamman,pub_594
Bernardus Stagninus,pub_595
Otinus de Luna,pub_596
Knowledge Foundation,pub_597
Library of Arafah,pub_598
Press Association,pub_599
The New Library,pub_600
Scientific Library,pub_601
Arab House Tomorrow,pub_602
Gorgeous Egyptian Press,pub_603
Dar Al-Kutub Press,pub_604
The Anglo Egyptian Bookshop,pub_605
Saada Publishing,pub_606
Hidaya Foundation for the Heritage Revival,pub_607
Institutes’ Library,pub_608
Council of the Ottoman Encyclopedia Press,pub_609
Ali Akbar Publishing House,pub_610
Mustafa Halabi & Sons,pub_611
Sawy Press,pub_612
E.J. Brill,pub_613
Greater Arab Library,pub_614
Arab Center for Culture and Science,pub_615
House of Scientific Culture,pub_616
Encyclopedia of the Ottoman Press,pub_617
Paul Barber Press,pub_618
Rahmaniya Printing Press,pub_619
Library of Egypt Press,pub_620
Al-Ihsan Printing Press,pub_621
As-Saada Printing Press,pub_622
Khanji Booksellers,pub_623
Arab Scientific Society,pub_624
Al-Wahbah Printing Press,pub_625
Al-Maarifa Printing Press,pub_626
Al-Matbaa Publishing,pub_627
Vilayet Printing House,pub_628
"National government of Bosnia and Hercegovina, National Printing House",pub_629
Ivan Fyodorov,pub_630
E. Fisher,pub_631
Braun & Schneider,pub_632
Hieronymus Höltzel,pub_633
Joint Stock Company Granberg,pub_634
F. Reichardt,pub_635
The Chinese Imperial Court,pub_636
Sampson Low,pub_637
The Camelot Press Limited,pub_638
The Religious Track Society,pub_639
Young People's Missionary Movement,pub_640
Monastery of the Three Hierarchs,pub_641
Muzeum przemysłowe miejskie,pub_642
Printed by Antonio González Reyes at the expense of Francisco Laso,pub_643
Guillermo Glindon,pub_644
St. Emmeram's Abbey,pub_645
Diocese of Basel,pub_646
Lyon,pub_647
Johann Bergmann,pub_648
Johann Schönsperger,pub_649
Sigmund Feyerabend,pub_650
Christopher Plantin,pub_651
Paul Frellon,pub_652
Krausiana,pub_653
Echeverría Brothers,pub_654
Joseph Fernandez de Buendia,pub_655
D. Antonio Espinosa de los Monteros,pub_656
Chicago Daily News,pub_657
American Motion Picture Corporation,pub_658
World Film,pub_659
25th Battery of the 3rd Colonial Artillery,pub_660
Illustrated London News,pub_661
J. Hogarth,pub_662
de Bry,pub_663
"Printed by the Uganda Company, Limited",pub_664
"George Allen and Co., Limited",pub_665
