Publisher,pub_key
"Information Office, Embassy of Ghana",pub_183
É. Crété,pub_184
Empreza Guedes,pub_185
Trelawney Saunders,pub_186
"Yair Medinah, Jerusalem Fine Arts Prints",pub_187
P. Sonnerat,pub_188
D. Reimer,pub_189
Thomas Hamilton,pub_190
Gallery/Studio Tamar Meser Ltd.,pub_191
Junta de Andalucia,pub_192
Printed for J. Peele,pub_193
Sold by W. Griffin,pub_194
Edward Arnold,pub_195
Century Company,pub_196
Bet Alpha Editions,pub_197
Yao Kanbē kaihan,pub_198
J. Blaeve,pub_199
A. Allard,pub_200
Homann Heirs,pub_201
Juan de Narvaes,pub_202
Direccion de Hidrografica,pub_203
Chez Pierre Mariette,pub_204
Jean Cóvens and Corneille Mortier,pub_205
Barbosa and Lobo,pub_206
Edward Anthony,pub_207
Qing yun guan,pub_208
C. Amat,pub_209
John Murray,pub_210
"Darling & Son, ltd.",pub_211
Felix Alcan,pub_212
Baptist Mission Press,pub_213
"Government Press, N.W.P. and Oudh",pub_214
A. Constable and Company,pub_215
Rodwell and Martin,pub_216
Elliot Stock,pub_217
Ticknor and Company,pub_218
J. Darby,pub_219
"Methuen & Co., Ltd., London; George H. Doran Company, New York",pub_220
H.M. Stationery Office,pub_221
Challamel aîné,pub_222
H. Hilger,pub_223
Printed for A. Millar,pub_224
"Smith, Elder, & Company",pub_225
S. Hooper,pub_226
J. Murray,pub_227
Printed at the Bengal Secretariat Office,pub_228
Archibald Constable and Company,pub_229
T. Fisher Unwin,pub_230
"Smith, Elder",pub_231
Armand Colin et cie,pub_232
"Houghton, Mifflin and company",pub_233
University Press,pub_234
Ferdinand Hirt & Sohn,pub_235
Printed at the Government Printing Office,pub_236
G. and J. Robinson,pub_237
Imprensa nacional,pub_238
Jonas Brown,pub_239
Imprimerie impériale,pub_240
Imprimerie royale,pub_241
Société royale de géographie d'Egypte,pub_242
Dieterichschen Buchhandlung,pub_243
Felipe Peña Cruz,pub_244
Wang Yuyin,pub_245
Kirk and Mercein,pub_246
Stereo-Travel Company,pub_247
"Sampson Low, Marston, Searle & Rivington",pub_248
"Juta, Heeles, and Co.",pub_249
"Longman, Brown, Green, and Longmans",pub_250
Al-‘Uthmaniyah Press,pub_251
H. Oudin,pub_252
Imprimerie Officielle,pub_253
Baptist Missionary Society and Trübner & Co.,pub_254
"Atkin & Prout, Printers",pub_255
"Doubleday, Page & Company",pub_256
Government Printer,pub_257
Imprimerie de Napoléon Chaix et Cie,pub_258
Ministry of Information of the Press and Broadcasting of the Republic of Senegal,pub_259
Ernest Leroux,pub_260
Imprimerie Jean Cussac,pub_261
Imprimerie Editogo,pub_262
"Longmans, Green and Co.",pub_263
Émile Larose,pub_264
"Ministry of the Interior, Information Service",pub_265
L. Desessart,pub_266
P. Wogan,pub_267
Luigi Battei,pub_268
L. Hachette,pub_269
W. Miller,pub_270
Publicity Promotions,pub_271
Min Qiji,pub_272
Duncker and Humblot,pub_273
"Swan Sonnenschein & Co., Ltd.",pub_274
l’Imprimerie du Rwanda,pub_275
E.S. Mittler,pub_276
"Dodd, Mead",pub_277
Union Publishing Company,pub_278
Harper & Brothers,pub_279
T. Fisher Unwin Ltd.,pub_280
Johann Friedrich Hartknoch,pub_281
Georg Christian Grund,pub_282
F.A. Brockhaus,pub_283
Ernest Bourdin,pub_284
"Lafréry, Antoine",pub_285
Justus Perthes,pub_286
Yu Liangmu,pub_287
Organization of American States,pub_288
bi-ihtimām Muḥammad ʻAbd al-Raḥmān ibn Ḥajjī Muḥammad Rawshan Khān Maghfūr,pub_289
Survey of India Offices,pub_290
Saillant et Nyon,pub_291
Alexander Hogg,pub_292
Hunt & Eaton,pub_293
Bormay & Company,pub_294
I. Murray,pub_295
William Blake,pub_296
Yao Kanbē,pub_297
Yao Kanbē kankō,pub_298
Tong Wenlong,pub_299
White House Photo Office (1969-1974),pub_300
"White House Photo Office, (1989-1993)",pub_301
John Dunlap,pub_302
Department of State,pub_303
United States House of Representatives. Committee on Woman Suffrage.,pub_304
"Department of Agriculture, Bureau of Agricultural Economics",pub_305
"Department of Commerce and Labor, Children's Bureau",pub_306
"Office for Emergency Management, Office of War Information, Overseas Operations Branch",pub_307
"Office for Emergency Management, Office of War Information, Domestic Operations Branch",pub_308
Yang Dao,pub_309
"United States Information Agency, Press and Publications Service",pub_310
Environmental Protection Agency,pub_311
West & Johnston,pub_312
Barbados Tourist Board,pub_313
National Film Board,pub_314
Guyana Information Service,pub_315
Trinidad and Tobago Tourist Board,pub_316
Joes van Doesborgh,pub_317
Claude de Monstr’oeil,pub_318
Fridericum Peypus,pub_319
Stephen Daye,pub_320
Henrico Martinez,pub_321
Chieh-tsu-yuan,pub_322
ChiGang Brotherhood Association,pub_323
Sheng Fan Wu,pub_324
"Carey, Lea, and Blanchard",pub_325
Franciscus Halma,pub_326
Hubertum Iaillot,pub_327
Sumptibus Henrici Hondii,pub_328
Officina Plantiniana,pub_329
Jacobus Lucius,pub_330
Nicolo Todescho,pub_331
Lucas Brandis de Schass,pub_332
Woodbury & Page,pub_333
R. Sayer,pub_334
"Greive Jr, J.C.",pub_335
Mieling,pub_336
"Maurepas, Jean-Frédéric Phélypeaux, comte de,",pub_337
Lauffer und Stolp,pub_338
Eggenberger Ferdinánd,pub_339
Hon-doiya,pub_340
Yamazaki Heihachi,pub_341
Rowlandson,pub_342
Zhao Liangfu,pub_343
Erhard Ratdolt,pub_344
Melchior Sessa for Jacob Pentius Leucensis,pub_345
"Bonetus Locatellus, for Octavianus Scotus",pub_346
Printing Press of King Frederick II,pub_347
Holy Dormition Lavra,pub_348
Henri Lioret,pub_349
Tianning Temple,pub_350
"Zhu Di (Chengzu, the Yongle Emperor)",pub_351
"Emperor Gaozong of the Qing dynasty, Aisin-Gioro Hongli",pub_352
Etienne Vouillemont,pub_353
Charles Bayle,pub_354
Printed for the Oriental translation committee,pub_355
"Printed by Claude Davost alias de Troys, for Bartholomeus Trot",pub_356
Antoine Lafréry,pub_357
Royal Swedish Academy of Sciences,pub_358
Wu Zetian,pub_359
Dangtu Commandery Studio,pub_360
Louis Elzevir,pub_361
Johann Bämler,pub_362
Johannes Petrejus,pub_363
"Caxton Publishing Company, Limited",pub_364
British Embassy,pub_365
J. Marshall,pub_366
C. Randall,pub_367
J. Morren,pub_368
G. Caldwell,pub_369
W. Macnie,pub_370
J. M'Nairn,pub_371
W. Davison,pub_372
Air: J. & P. Wilson,pub_373
R. Taylor,pub_374
R. Hutchison,pub_375
G. Miller,pub_376
E. Johnstone,pub_377
J. McNairn,pub_378
T. Johnston,pub_379
J. & J. Neil,pub_380
M. Randall,pub_381
J. Neil,pub_382
"Niven, Napier and Khull",pub_383
Jean-Baptiste Nolin,pub_384
R-Printer (Adolf Rusch),pub_385
Osky’s Curio Shop,pub_386
Record Co.,pub_387
T. McLean,pub_388
Francesco Cavallo,pub_389
Harman Lanfon,pub_390
Chez Emanuel Colin de Thovoyon,pub_391
Giuseppe Galeazzi,pub_392
Blaeu,pub_393
E. Thunot,pub_394
Church Missionary Society,pub_395
William Bradford and J. Peter Zenger,pub_396
Pieter Sanders,pub_397
Otto Barentlz,pub_398
Jaer,pub_399
Jan Banning,pub_400
Marten Iansz Brant,pub_401
Cornelis Claesz,pub_402
Hillebrant Jacobsz van Wouw,pub_403
Evert Nieuwenhof,pub_404
A. Damianova,pub_405
Speyer,pub_406
Anton Koberger for Sebald Schreyer and Sebastian Kammermeister,pub_407
Kniazhestvo-srŭbska (Pravitelstvena) knigopechatnia,pub_408
Kniazhesko-serbska,pub_409
Kralevska universitetska,pub_410
Zakhariia Karkaleki,pub_411
Knigopechatnitsa (tipografiia) na Ĭosifa Kopaĭniga,pub_412
Pechatnitsa na Fermen Dido,pub_413
Kniazhesko-srŭbska (Pravitelstvena) knigopechatnia,pub_414
Sv. Mitropoliia,pub_415
I.K. Sopronova,pub_416
Imperatorskoĭ akademii nauk,pub_417
Knigopechatniata na d-ra Danila Medakovicha,pub_418
Pechatnitsa (shtamparnitsa) na Dim. Panichkov,pub_419
Pechatnitsa na A. Iakicha,pub_420
Pechatnitsa na Makedoniia,pub_421
Royal Hospital,pub_422
Kim Jeongho,pub_423
Thomas Baglionus,pub_424
Ferdinand IV ann. IX,pub_425
Conrad Sweynheym and Arnold Pannartz,pub_426
Regia Stamperia,pub_427
Giacomo Mascardi,pub_428
Francesco Baba,pub_429
Photoglob Company,pub_430
Bartlett & Welford,pub_431
Adriaan Vlacq,pub_432
De L'imprimerie impériale,pub_433
Levinus Hulsius,pub_434
Barthélemy Vincent,pub_435
Ignaz Alberti's Wittwe,pub_436
François Nicolas Martinet,pub_437
Ishwar Das,pub_438
Stephanus Creuzer,pub_439
Paul Grasnik,pub_440
Zhao Kehuai,pub_441
Zongwen Shuyuan,pub_442
William Daniell,pub_443
John A. Blair,pub_444
Greening & Company,pub_445
De Bussy,pub_446
François Juste,pub_447
Daniel de la Feuille,pub_448
Izumiya Gonshiro,pub_449
Kinrindō,pub_450
Arnoul L'Angelier,pub_451
Masuda Shop before the Temple of the Shiba Shinmei mae,pub_452
Yamajin (Yamashiroya Jinbei),pub_453
Orontius Fineus,pub_454
Étienne Michallet,pub_455
"Vincent Sertenas, Jean Longis, and Robert Le Mangnier. Printed by Annet Brière",pub_456
Printed for R. Baldwin,pub_457
A. Strahan,pub_458
Wu Aheng,pub_459
Shao Tinglie,pub_460
Liu You Yang,pub_461
Ren Rui Tang,pub_462
Huang Chengzhi,pub_463
Di Xuan Ge,pub_464
Wan Juan Lou,pub_465
Pan Zuyin,pub_466
Zhong De Shu Tang,pub_467
Da You Tang,pub_468
Parliamentary Recruiting Committee,pub_469
Latham Lithography & Printing Company,pub_470
Maison d'Edition,pub_471
The National Committee for Relief in Belgium,pub_472
S.A.I.G.A. Armanino,pub_473
"Gazette Printing Co., Limited",pub_474
Marchbanks Press,pub_475
E. Guazzoni,pub_476
Geroldi,pub_477
"Gleaner Company, Limited",pub_478
Government Printing Office,pub_479
Hermes Buch u. Kunstdruckerei,pub_480
Howell Lithography,pub_481
The Hegeman Print,pub_482
Pichot,pub_483
Crespi e Cortina,pub_484
Dinse and Eckert,pub_485
National Organising Committee,pub_486
National Industrial Conservation Movement,pub_487
American Red Cross,pub_488
Chaix,pub_489
Lapina,pub_490
Sackett & Wilhelms Corporation,pub_491
Newspaper of the 10th Army,pub_492
B. Sirven,pub_493
Montreal Lithograph Company Limited,pub_494
Press Navy Recruiting Bureau,pub_495
Gesellschaft für Graphische Industrie,pub_496
Central Council for the Organisation of Recruiting in Ireland,pub_497
The United States Printing & Lithograph Company,pub_498
Montreal Lithographic Company Limited,pub_499
Chambrelent,pub_500
Berger-Levrault,pub_501
"Hudson & Kearns Limited, Lithography",pub_502
Chemical Warfare Service,pub_503
J. Cussac,pub_504
Conwell Graphic Companies,pub_505
Ray Greenleaf,pub_506
Union for the Struggle against Bolshevism,pub_507
Stone Limited,pub_508
"Johnson, Riddle & Company, Limited",pub_509
Vercasson,pub_510
Dinse & Eckert,pub_511
James Walker,pub_512
Rous & Mann,pub_513
Central Committee for National Patriotic Organisations,pub_514
Publication Section. Emergency Fleet Corporation,pub_515
Rotophot A.G.,pub_516
Instituto Italiano D'Arti Grafiche,pub_517
American Lithographic Company,pub_518
Neogravure Printing Company,pub_519
"Hill, Siffken & Company",pub_520
M. Seeger,pub_521
"Central Recruiting Committee, Number 2 Military Division",pub_522
"The Gleaner Company, Limited",pub_523
J. Weiner,pub_524
"Central Board of Registration, Selective Draft, Territory of Hawaii",pub_525
Liberty Loan Committee,pub_526
Section Cinématographique de l'Armée Française,pub_527
"Bradbury, Agnew & Company",pub_528
"Miles & Company, Limited Lithography",pub_529
Barron Collier,pub_530
Cornille & Serre,pub_531
Tang shi,pub_532
"Ruan, Zisong",pub_533
Tian yi ge,pub_534
Gan Fengliao,pub_535
Shizhuzhai,pub_536
Nanjing Xing bu,pub_537
Kazan Imperial University Publishing House,pub_538
Romanus,pub_539
Yamadaya Shōbei or Shōjirō,pub_540
Kiya,pub_541
Matsuki Heikichi,pub_542
Maruya Jinpachi,pub_543
Marutetsu,pub_544
Claudio Duchetti,pub_545
United States. Army. Corps of Topographical Engineers,pub_546
Wisconsin. Board of Commissioners of Public Lands,pub_547
Land and River Improvement Company,pub_548
Hydrographic Office,pub_549
Bureau of Civil and Topographical Engineering,pub_550
Laurie & Whittle,pub_551
Printing House of Bezobrazov V.,pub_552
P.P. Soikin,pub_553
Maimana Publishing House,pub_554
Osman Publishing House,pub_555
V.Z. Erem’yev Typo-Lithography,pub_556
Turkestan Military District Headquarters Printing House,pub_557
Monastery of Saints Cyprian and Justina,pub_558
Ganwang Dian,pub_559
Qian Dai,pub_560
Cheng Sheren,pub_561
Conghua Shufang,pub_562
Wen yuan ge,pub_563
Haishan Xianguan,pub_564
Shide Tang,pub_565
Fuchun Tang,pub_566
Xiao Tenghong,pub_567
Chen Jiao,pub_568
日本東京康氏傳鈔古寫本,pub_569
John C.H. Grabill,pub_570
"Macmillan and Company, Limited",pub_571
W. Heinemann,pub_572
Weidmann,pub_573
Pittsburgh Printing Company,pub_574
Baker & Taylor Company,pub_575
"Archibald Constable and Company, Limited",pub_576
Juan de la Cuesta,pub_577
Pascual Bujenas,pub_578
Juan Cromberger,pub_579
Ramon Petras,pub_580
Jerónimo Verdussen,pub_581
